num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
10000,1,0.9905,0.027348525822162628,0.496,0.484,0.012,18.626,0,593.1882458184568
20000,2501,0.981,0.017238281667232513,0.518,0.47,0.048,16.124,0,114.01410436007129
30000,5001,0.9715,0.022368378937244415,0.476,0.5,-0.024,17.63,0,91.11475042448616
40000,7501,0.962,0.030929937958717346,0.508,0.48,0.028,17.358,0,85.07725520032388
50000,10001,0.9525,0.024017907679080963,0.484,0.506,-0.022,16.344,0,80.11968703458139
60000,12501,0.9430000000000001,0.016457263380289078,0.498,0.494,0.004,16.718,0,76.94165581544581
70000,15001,0.9335,0.019577709957957268,0.536,0.454,0.082,17.744,0,75.45571104534547
80000,17501,0.924,0.031249873340129852,0.504,0.492,0.012,16.828,0,76.65877841375791
90000,20001,0.9145,0.023209284991025925,0.52,0.47,0.05,17.188,0,79.60403778459144
100000,22501,0.905,0.029111381620168686,0.484,0.496,-0.012,17.28,0,82.09458990695704
110000,25001,0.8955,0.009082970209419727,0.518,0.46,0.058,17.026,0,84.28738475934713
120000,27501,0.886,0.02069796994328499,0.568,0.418,0.15,16.782,0,86.08014487703704
130000,30001,0.8765000000000001,0.011707086116075516,0.554,0.43,0.124,16.352,0,87.68071442552143
140000,32501,0.867,0.009535160847008228,0.592,0.402,0.19,18.122,0,88.35556001397426
150000,35001,0.8575,0.016275370493531227,0.516,0.464,0.052,17.054,0,89.7555787432643
160000,37501,0.848,0.020664691925048828,0.528,0.46,0.068,16.936,0,90.99560689583416
170000,40001,0.8385,0.008668225258588791,0.518,0.452,0.066,16.988,0,92.13414613341206
180000,42501,0.829,0.007106061093509197,0.504,0.476,0.028,17.886,0,93.08210024822709
190000,45001,0.8195,0.00803359691053629,0.528,0.44,0.088,19.332,0,94.00438547096427
200000,47501,0.81,0.005051190499216318,0.53,0.454,0.076,17.778,0,94.89528395324447
210000,50001,0.8005,0.007072548847645521,0.556,0.424,0.132,18.102,0,95.72686811566881
220000,52501,0.791,0.008953919634222984,0.564,0.412,0.152,18.204,0,96.49007714279603
230000,55001,0.7815,0.002158079296350479,0.546,0.44,0.106,16.01,0,97.19531332206422
240000,57501,0.772,0.0026150953490287066,0.552,0.418,0.134,19.042,0,97.84382257712572
250000,60001,0.7625,0.0014556803507730365,0.576,0.388,0.188,19.658,0,98.42745225365863
260000,62501,0.753,0.005006536841392517,0.578,0.404,0.174,18.394,0,98.89039533062618
270000,65001,0.7435,0.001736464793793857,0.54,0.446,0.094,17.358,0,99.34487122802416
280000,67501,0.734,0.0034942026250064373,0.562,0.414,0.148,17.938,0,99.77896192242332
290000,70001,0.7245,0.0008284142822958529,0.546,0.416,0.13,18.338,0,100.22628127562821
300000,72501,0.7150000000000001,0.0034762879367917776,0.596,0.386,0.21,17.372,0,100.64857817451731
310000,75001,0.7055,0.0008269087411463261,0.594,0.384,0.21,16.288,0,100.94526335362495
320000,77501,0.696,0.0013526170514523983,0.602,0.386,0.216,16.78,0,100.95898994972814
330000,80001,0.6865,0.00197228929027915,0.59,0.386,0.204,17.832,0,99.85757651590443
340000,82501,0.677,0.0027493212837725878,0.594,0.38,0.214,17.406,0,99.95564637226121
350000,85001,0.6675,0.0032134749926626682,0.6,0.386,0.214,17.57,0,99.473725052886
360000,87501,0.658,0.0016876503359526396,0.624,0.356,0.268,17.392,0,99.12655595601146
370000,90001,0.6485000000000001,0.0010520757641643286,0.604,0.368,0.236,17.126,0,99.3234475862753
380000,92501,0.639,0.0025397990830242634,0.628,0.356,0.272,17.84,0,98.7313274700725
390000,95001,0.6295,0.003980503883212805,0.658,0.32,0.338,17.822,0,98.0286137648069
