num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
10000,1,0.9905,0.02404991164803505,0.542,0.434,0.108,17.322,0,775.9926389278594
20000,2501,0.981,0.012549072504043579,0.488,0.496,-0.008,17.188,0,157.55983810731743
30000,5001,0.9715,0.021187057718634605,0.48,0.51,-0.03,17.162,0,108.32851560205621
40000,7501,0.962,0.015179362148046494,0.524,0.464,0.06,15.816,0,92.83484241499454
50000,10001,0.9525,0.02280512824654579,0.498,0.464,0.034,17.906,0,86.19549036286159
60000,12501,0.9430000000000001,0.024393167346715927,0.514,0.47,0.044,16.986,0,81.83056489300843
70000,15001,0.9335,0.023725910112261772,0.522,0.466,0.056,16.498,0,81.7176600965908
80000,17501,0.924,0.02360384538769722,0.524,0.454,0.07,16.324,0,82.56551485317658
90000,20001,0.9145,0.015150041319429874,0.51,0.472,0.038,18.2,0,83.29603421649989
100000,22501,0.905,0.00757363298907876,0.594,0.388,0.206,16.64,0,84.13700174665425
110000,25001,0.8955,0.03529210016131401,0.528,0.438,0.09,18.044,0,84.1097683691238
120000,27501,0.886,0.017022550106048584,0.492,0.484,0.008,17.95,0,84.24305199996245
130000,30001,0.8765000000000001,0.01967620477080345,0.506,0.462,0.044,18.784,0,84.63792622492079
140000,32501,0.867,0.015716174617409706,0.526,0.464,0.062,17.668,0,84.89342404783977
150000,35001,0.8575,0.016842929646372795,0.546,0.438,0.108,18.014,0,85.26668100209524
160000,37501,0.848,0.02614331804215908,0.506,0.466,0.04,19.224,0,85.40679212105445
170000,40001,0.8385,0.007204009220004082,0.538,0.436,0.102,18.416,0,85.64195504990576
180000,42501,0.829,0.017183497548103333,0.578,0.406,0.172,17.38,0,85.74833609575396
190000,45001,0.8195,0.014592070132493973,0.52,0.444,0.076,20.536,0,85.9541014994887
200000,47501,0.81,0.0045639146119356155,0.516,0.462,0.054,18.95,0,86.08218098615512
210000,50001,0.8005,0.004416933748871088,0.574,0.41,0.164,18.066,0,86.26456456969136
220000,52501,0.791,0.004836391657590866,0.534,0.442,0.092,19.896,0,86.47284674754158
230000,55001,0.7815,0.0025073932483792305,0.58,0.392,0.188,19.032,0,86.66300192997593
240000,57501,0.772,0.003608749946579337,0.548,0.434,0.114,17.658,0,86.75509155433191
250000,60001,0.7625,0.002532484009861946,0.57,0.406,0.164,18.412,0,86.80737946985052
260000,62501,0.753,0.0007597497897222638,0.598,0.374,0.224,19.352,0,86.87849275796269
270000,65001,0.7435,0.0020924138370901346,0.61,0.366,0.244,18.57,0,86.93020043891887
280000,67501,0.734,0.0010342563036829233,0.53,0.456,0.074,17.814,0,86.92160473307437
290000,70001,0.7245,0.002931770868599415,0.628,0.36,0.268,19.024,0,87.03758590978092
300000,72501,0.7150000000000001,0.0013237684033811092,0.572,0.402,0.17,16.818,0,87.13004107361435
310000,75001,0.7055,0.0019648452289402485,0.61,0.372,0.238,16.48,0,87.06179128331964
320000,77501,0.696,0.0014659557491540909,0.632,0.348,0.284,16.506,0,87.14585465287513
330000,80001,0.6865,0.0008971279603429139,0.582,0.394,0.188,16.206,0,87.22318149410735
340000,82501,0.677,0.0019468568498268723,0.604,0.37,0.234,18.796,0,87.26723508632904
350000,85001,0.6675,0.002784605836495757,0.612,0.36,0.252,17.956,0,87.28806426492639
360000,87501,0.658,0.0014835932524874806,0.644,0.332,0.312,17.402,0,87.28990523494686
370000,90001,0.6485000000000001,0.0031456046272069216,0.634,0.348,0.286,16.952,0,87.39254145137824
380000,92501,0.639,0.005056771915405989,0.624,0.358,0.266,16.556,0,87.40606670565943
390000,95001,0.6295,0.0026929713785648346,0.596,0.386,0.21,17.4,0,87.45545525139143
400000,97501,0.62,0.0020066676661372185,0.636,0.332,0.304,17.886,0,87.58902965473506
410000,100001,0.6105,0.003257672069594264,0.636,0.348,0.288,16.342,0,87.63105233269891
420000,102501,0.601,0.0025037257000803947,0.616,0.35,0.266,18.418,0,87.62088277683186
430000,105001,0.5915,0.004713828209787607,0.666,0.31,0.356,17.024,0,87.68125035947543
440000,107501,0.5820000000000001,0.002447899430990219,0.65,0.324,0.326,17.228,0,87.75413208680952
450000,110001,0.5725,0.004309556912630796,0.646,0.332,0.314,16.498,0,87.76011944509517
